"","sitename","intercept","term1","term2","r.squared","adjr.squared","maxE","minE"
"1","0034L",1203520346.27618,-2619283.69129553,1425.12429416814,0.998899287050992,0.998794457246325,924.434,920.27052
"2","0081L",527322651.548288,-1163700.95707557,641.986678513355,0.995414940982202,0.994841808604977,916.873,913.041
"3","0089L",837924394.052929,-1843450.92445906,1013.91292724669,0.998445984955971,0.998186982448633,915.2034975,911.1323636
"4","0166L",1208577352.13505,-2705306.05069048,1513.90479027019,0.997638250075329,0.997389644820101,899.042,895.11556
"5","0220R",375608063.241756,-856190.484165797,487.920703719364,0.999057465020126,0.998982062221736,886.777,879.665
"6","0236L",436511940.458342,-1000647.40475501,573.46487765384,0.999114709331355,0.99896716088658,880.9294,875.266
"7","0307R",412987695.253208,-969498.29993869,568.981330687422,0.998962464754486,0.998868143368531,860.8455,854.687
"8","0333L",242286070.642476,-575403.268989348,341.607681096061,0.998691336759758,0.998545929733064,855.2477,849.9785283
"9","0414R",315734875.862821,-757162.822303152,453.91787026038,0.999626630616713,0.999576848032275,845.1645,840.5466
"10","0434L",533937479.454004,-1276349.43678116,762.762205549623,0.999438822783654,0.999385377334478,844.346,839.02482
"11","0445L",516622513.909458,-1239841.41625496,743.8715280529,0.999546425014337,0.999514026801075,841.3737377,836.36708
"12","0450L",367990875.918939,-886510.476967654,533.896549249758,0.999626753765771,0.999569331268197,840.2695667,836.1217895
"13","0476R",742643663.394025,-1786096.12259017,1073.91265012216,0.999442424012684,0.999402597156448,838.1439,833.87211
"14","0501R",528525298.310538,-1278519.61778978,773.191007800486,0.999136704224664,0.999003889489997,834.707,829.97147
"15","0515L",528525298.310538,-1278519.61778978,773.191007800486,0.999136704224664,0.999003889489997,834.707,829.97147
"16","0566R",1076722776.43276,-2642205.47480668,1620.94557745769,0.99969459450859,0.999639066237424,820.2767143,817.4963125
"17","0629R",510330481.842589,-1279622.104084,802.140758421505,0.997715076392868,0.997516387383552,805.429,801.148375
"18","0651R",1119792144.15269,-2817948.58400485,1772.8389952925,0.998571565638343,0.998441707969101,799.906,796.6758273
"19","0688R",1704994331.17102,-4340438.4364281,2762.3917351208,0.99832850512899,0.998089720147417,789.616,786.9172317
"20","0701R",1403144360.87709,-3601777.68126504,2311.38371240325,0.998926409158173,0.998496972821442,783.419285,780.8754
"21","0817L",465730990.436014,-1269592.3339265,865.227987249008,0.998575506614192,0.998417229571325,741.343,736.8163
"22","0846R",267480934.094306,-742300.408705162,514.988286938066,0.999082998752056,0.998930165210732,730.6025714,725.9365333
"23","0876L",715119921.90729,-1996678.75748763,1393.73693567584,0.9968943058994,0.996635498057683,721.778,716.8083
"24","0917R",324907464.001011,-932728.533766743,669.401502853874,0.998464836210506,0.998336905894715,705.463,700.323
"25","0938L",1055347812.04193,-3028741.92115086,2173.05574594946,0.993064962781742,0.992404483046669,701.207,697.7455
"26","1044R",430142034.114886,-1309065.23812634,995.982732938834,0.998785883996438,0.998670253900861,664.0095,659.31693
"27","1194R",214578894.708908,-702467.795048098,574.910897551796,0.999062724170355,0.998990626029613,620.193,614.649
"28","1227R",334008073.119073,-1100522.60572029,906.533469441502,0.998518631851311,0.998383962019612,614.04,608.93708
"29","1233L",424206816.705043,-1397448.02850103,1150.90046673194,0.997771114231254,0.997592803369755,613.222,608.22806
"30","1377L",220084053.991242,-785550.802196669,700.966427185678,0.999007821036655,0.998931499577936,568.694,563.16109
"31","1396R",230054714.867293,-827798.065957804,744.664944319677,0.999413594984712,0.999351868140997,563.654,558.041
"32","1459L",154732338.270061,-575594.242424047,535.291778256865,0.997965885421378,0.997762473963516,547.05,540.921
"33","1726L",174018509.854424,-704077.194715981,712.154700346715,0.997455675886623,0.997213359304397,502.9028947,498.2095
"34","1833R",173132146.464783,-739222.427379001,789.064460252687,0.998435501803062,0.998310341947306,476.185,471.17833
"35","1946L",196000462.339767,-879901.62965925,987.538302912709,0.998511198082176,0.998375852453283,452.2593,447.74409
"36","2023R",140538332.48895,-655708.198890865,764.808402967558,0.998792383851764,0.998687373751918,436.9652778,432.18485
"37","2133L",67361084.6301151,-335606.544272712,418.020320293731,0.996636866992838,0.996356605908908,412.0576,405.02178
"38","2201R",207476632.690536,-1057372.04885201,1347.16816714623,0.998179699098461,0.997988088477247,401.033,394.752
"39","2255R",212144397.194798,-1116668.5410049,1469.47198821035,0.998413477952868,0.998254825748155,385.289,381.567
