"","sitename","intercept","term1","term2","r.squared","adjr.squared","maxQ","minQ"
"1","0034L",919.533952005818,0.000172914376094171,-1.47919257900529e-09,0.998610237784215,0.998477879477949,45895,5011.3
"2","0081L",912.601738155702,0.000112462358299466,-4.58407729639911e-10,0.994635381418224,0.993964804095502,45895,4904.3
"3","0089L",909.445973066109,0.000217054350430634,-1.93019302490533e-09,0.999062322257062,0.998906042633239,42800,8140
"4","0166L",894.594407793633,0.000147658213105747,-1.17451871850534e-09,0.992747206581125,0.991983754642296,45895,5159.516
"5","0220R",878.466227225466,0.000290562533922543,-2.45561554071222e-09,0.995577974166211,0.995224212099508,45895,5274
"6","0236L",873.926878688273,0.000276316231747731,-2.61101635123964e-09,0.998069390610685,0.997747622379133,41977,5214
"7","0307R",853.671054185749,0.000240523894841389,-1.88677038280300e-09,0.99846066681071,0.998320727429865,45895,4977.958
"8","0333L",849.146318753504,0.000185534569156056,-9.76387212619233e-10,0.998626742367412,0.998474158186014,42500,4980
"9","0414R",839.641045097421,0.000169036516294993,-9.29630451298989e-10,0.999544576787678,0.999483853692702,42500,5430
"10","0434L",838.308276381045,0.000200586680808617,-1.52295568759495e-09,0.996818751792754,0.996515775773016,45895,5090.93
"11","0445L",835.532692772019,0.000183637881277378,-1.27784023262389e-09,0.99871804494333,0.998626476724996,45895,5485.59
"12","0450L",835.05916968781,0.000160250220980464,-8.81803886758655e-10,0.99952937484906,0.999456970979684,42500,6910
"13","0476R",833.138637921899,0.00016440013725338,-1.23289656368561e-09,0.997285427222534,0.997091529167001,45895,5218.836
"14","0501R",829.125115781846,0.00017804398301862,-1.24173883582377e-09,0.998926827201431,0.998761723693959,46004,5036.37
"15","0515L",829.125115781846,0.00017804398301862,-1.24173883582377e-09,0.998926827201431,0.998761723693959,46004,5036.37
"16","0566R",816.578723140057,0.000126612726889669,-9.38765914817783e-10,0.999217474252192,0.9990751968435,42800,8000
"17","0629R",799.865262987626,0.000168189269575201,-1.08242255175005e-09,0.997972963442096,0.997796699393582,47884,8390
"18","0651R",795.779572527382,0.000127290325127625,-8.89947345180683e-10,0.995649071622651,0.995253532679256,47884,8390
"19","0688R",786.037738146609,0.000116955203729534,-8.98335462635847e-10,0.998230232854387,0.997977408976442,47884,8390
"20","0701R",779.865292205384,0.000125032422527015,-1.01065447145786e-09,0.998719617908906,0.998207465072468,44300,8320
"21","0817L",736.024620541624,0.000162910901812571,-1.1016849849369e-09,0.998809404700638,0.998677116334042,47884,5360
"22","0846R",724.482795289698,0.000185492179133421,-1.09927458865912e-09,0.998957725307115,0.998784012858301,45300,8450
"23","0876L",716.090879612341,0.000210930615398069,-1.97238072407924e-09,0.992412175494041,0.991779856785211,47884,5365
"24","0917R",699.404256667272,0.000181103226089918,-1.1810298850208e-09,0.996994083803019,0.996743590786604,47884,5820
"25","0938L",696.919101658399,0.000160500452431378,-1.48027330655908e-09,0.999290909093987,0.999223376626748,47884,5584
"26","1044R",658.380563585757,0.000185349706699636,-1.44361221940682e-09,0.997503155773303,0.997265361085046,47884,5395
"27","1194R",613.694728295797,0.000203104635898925,-1.39259166056565e-09,0.999218145129633,0.999158002447297,47884,5375
"28","1227R",607.966378863631,0.000206450298574012,-1.69206865725278e-09,0.998058227663583,0.997881702905727,47884,5375
"29","1233L",607.277886820106,0.000219428500517217,-2.03601641833383e-09,0.99652726194407,0.996249442899595,47884,4695
"30","1377L",562.503580545528,0.000196097160901866,-1.41544368710429e-09,0.997466669689934,0.997271798127622,47884,4695
"31","1396R",557.131684646183,0.000213569810530442,-1.63856731875775e-09,0.998130966038576,0.997934225621584,47884,5230
"32","1459L",539.881835471342,0.000230294386797584,-1.68934789903385e-09,0.996595775773993,0.996255353351393,47884,5360
"33","1726L",497.251286161706,0.00016587531366051,-1.02804059451997e-09,0.997772564699616,0.997560428004341,47278,6066
"34","1833R",470.176555585704,0.000192114989317702,-1.42238193601497e-09,0.997441945894258,0.997237301565799,46680,5665
"35","1946L",446.795382203323,0.00017973587095571,-1.35693557687764e-09,0.997977073171784,0.997793170732855,47278,5995
"36","2023R",431.443953698162,0.000165970277574163,-1.09350678086674e-09,0.998850305532388,0.998750332100422,47278,4765
"37","2133L",403.552074950028,0.000271319685566208,-2.02569263074319e-09,0.997083348822865,0.996840294558104,47278,5465
"38","2201R",394.450498160731,0.000106875358372227,-4.0641208571847e-10,0.993316582697722,0.992613065086956,97000,5000
"39","2255R",380.715643400587,0.000165649503806965,-1.43638810236239e-09,0.999061417929444,0.998967559722389,44900,5703
